currency	prev_day_close	last	last_time	volume	full_volume
AUDUSD	0.8017	0.7985	2018-01-23 07:54:00	31747	31747
BTCUSD	10729.04	10272.29	2018-01-23 07:53:56	27138	0
EURUSD	1.226	1.2255	2018-01-23 07:54:00	38025	0
GBPUSD	1.3985	1.3976	2018-01-23 07:54:00	58573	0
ILSUSD	3.4138	3.4152	2018-01-23 07:53:00	463	463
NZDUSD	0.7326	0.7326	2018-01-23 07:54:00	16219	16219
USDBRL	3.202	3.202	2018-01-22 22:30:00	0	0
USDCAD	1.2443	1.2454	2018-01-23 07:54:00	24380	24380
USDCHF	0.9616	0.9624	2018-01-23 07:54:00	12195	12195
USDCNY	6.4035	6.3975	2018-01-23 07:53:00	674	674
USDCZK	20.708	20.728	2018-01-23 07:54:00	10901	10901
USDDKK	6.0704	6.0734	2018-01-23 07:54:00	23941	23941
USDHKD	7.8182	7.8175	2018-01-23 07:54:00	2176	2176
USDHUF	252.3	252.53	2018-01-23 07:54:00	15178	15178
USDINR	63.88	63.77	2018-01-23 07:53:00	635	635
USDJPY	110.91	111.06	2018-01-23 07:54:00	40854	40854
USDKRW	1068.4	1070.5699	2018-01-23 07:54:00	9364	9364
USDMXN	18.6767	18.6982	2018-01-23 07:54:00	10583	10583
USDMYR	3.933	3.928	2018-01-23 07:40:00	35	35
USDNOK	7.8499	7.8632	2018-01-23 07:54:00	23503	23503
USDPLN	3.3986	3.4004	2018-01-23 07:54:00	7696	7696
USDRUB	56.4756	56.4835	2018-01-23 07:54:00	6593	0
USDSAR	3.7502	3.7501	2018-01-23 07:54:00	538	538
USDSEK	8.0188	8.0304	2018-01-23 07:54:00	15241	15241
USDSGD	1.3187	1.3183	2018-01-23 07:54:00	7991	7991
USDTHB	31.84	31.82	2018-01-23 07:53:00	3216	3216
USDTRY	3.774	3.7832	2018-01-23 07:54:00	15569	15569
USDTWD	29.179	29.205	2018-01-23 07:53:00	2418	2418
USDZAR	12.0462	12.09	2018-01-23 07:54:00	4057	4057
XAGUSD	17.01	17.072	2018-01-23 07:53:00	0	0
XAUUSD	1333.7	1336.76	2018-01-23 07:53:00	0	0
XPDUSD	1098.2	1098.24	2018-01-23 07:54:00	0	0
XPTUSD	995	997	2018-01-23 07:54:00	0	0
