currency	prev_day_close	last	last_time	volume	full_volume
AUDUSD	0.8017	0.7971	2018-01-23 15:24:00	64899	64899
BTCUSD	10729.04	10320	2018-01-23 15:23:59	26205	0
EURUSD	1.226	1.2257	2018-01-23 15:24:00	90887	0
GBPUSD	1.3985	1.3959	2018-01-23 15:24:00	122175	0
ILSUSD	3.4138	3.418	2018-01-23 15:24:00	9153	9153
NZDUSD	0.7326	0.7331	2018-01-23 15:24:00	37575	37575
USDBRL	3.202	3.2329	2018-01-23 15:24:00	18807	18807
USDCAD	1.2443	1.2473	2018-01-23 15:24:00	56559	56559
USDCHF	0.9616	0.9602	2018-01-23 15:24:00	34424	34424
USDCNY	6.4035	6.4061	2018-01-23 15:24:00	1053	1053
USDCZK	20.708	20.709	2018-01-23 15:24:00	28616	28616
USDDKK	6.0704	6.0715	2018-01-23 15:24:00	63337	63337
USDHKD	7.8182	7.8176	2018-01-23 15:24:00	5770	5770
USDHUF	252.3	252.63	2018-01-23 15:24:00	37621	37621
USDINR	63.88	63.77	2018-01-23 12:30:00	1405	1405
USDJPY	110.91	110.51	2018-01-23 15:24:00	84175	84175
USDKRW	1068.4	1073.75	2018-01-23 15:24:00	14204	14204
USDMXN	18.6767	18.849	2018-01-23 15:24:00	40026	40026
USDMYR	3.933	3.925	2018-01-23 10:37:00	60	60
USDNOK	7.8499	7.8518	2018-01-23 15:24:00	64170	64170
USDPLN	3.3986	3.4003	2018-01-23 15:24:00	24410	24410
USDRUB	56.4756	56.555	2018-01-23 15:24:00	30442	0
USDSAR	3.7502	3.7499	2018-01-23 15:22:00	2537	2537
USDSEK	8.0188	8.0303	2018-01-23 15:24:00	50906	50906
USDSGD	1.3187	1.3192	2018-01-23 15:24:00	18902	18902
USDTHB	31.84	31.82	2018-01-23 15:23:00	6247	6247
USDTRY	3.774	3.7808	2018-01-23 15:24:00	68382	68382
USDTWD	29.179	29.254	2018-01-23 15:24:00	7655	7655
USDZAR	12.0462	12.1274	2018-01-23 15:24:00	35351	35351
XAGUSD	17.01	16.789	2018-01-23 15:24:00	0	0
XAUUSD	1333.7	1332.3101	2018-01-23 15:24:00	0	0
XPDUSD	1098.2	1087.25	2018-01-23 15:24:00	0	0
XPTUSD	995	995.4	2018-01-23 15:24:00	0	0
