currency	prev_day_close	last	last_time	volume	full_volume
AUDUSD	0.7996	0.7996	2018-01-23 23:54:00	1649	1649
BTCUSD	10729.04	11076	2018-01-23 23:53:51	22284	0
EURUSD	1.2297	1.2296	2018-01-23 23:54:00	1943	0
GBPUSD	1.3999	1.3999	2018-01-23 23:54:00	2589	0
ILSUSD	3.4086	3.4086	2018-01-23 23:44:00	9	9
NZDUSD	0.7352	0.7349	2018-01-23 23:54:00	214	214
USDBRL	3.2369	3.2369	2018-01-23 22:30:00	0	0
USDCAD	1.2414	1.2421	2018-01-23 23:54:00	1265	1265
USDCHF	0.9576	0.9577	2018-01-23 23:54:00	349	349
USDCNY	6.4	6.4	2018-01-23 16:29:00	0	0
USDCZK	20.634	20.621	2018-01-23 23:54:00	454	454
USDDKK	6.0524	6.0528	2018-01-23 23:54:00	1141	1141
USDHKD	7.8187	7.8179	2018-01-23 23:52:00	50	50
USDHUF	251.25	251.34	2018-01-23 23:54:00	1319	1319
USDINR	63.75	63.75	2018-01-23 20:28:00	0	0
USDJPY	110.29	110.23	2018-01-23 23:54:00	2910	2910
USDKRW	1072.89	1072.95	2018-01-23 23:53:00	167	167
USDMXN	18.691	18.688	2018-01-23 23:54:00	426	426
USDMYR	3.925	3.925	2018-01-23 10:37:00	0	0
USDNOK	7.8212	7.8219	2018-01-23 23:54:00	276	276
USDPLN	3.3883	3.3882	2018-01-23 23:54:00	1108	1108
USDRUB	56.348	56.3648	2018-01-23 23:48:00	42	0
USDSAR	3.7501	3.7501	2018-01-23 20:24:00	0	0
USDSEK	8.0055	8.0065	2018-01-23 23:54:00	538	538
USDSGD	1.3169	1.3171	2018-01-23 23:54:00	166	166
USDTHB	31.81	31.79	2018-01-23 23:54:00	122	122
USDTRY	3.765	3.7654	2018-01-23 23:54:00	1393	1393
USDTWD	29.207	29.219	2018-01-23 23:50:00	28	28
USDZAR	12.025	12.0255	2018-01-23 23:54:00	326	326
XAGUSD	17.045	16.979	2018-01-23 22:59:00	0	0
XAUUSD	1341.01	1340.91	2018-01-23 22:58:00	0	0
XPDUSD	1091.97	1091	2018-01-23 23:51:00	0	0
XPTUSD	1006.3	1004	2018-01-23 22:59:00	0	0
