symbol	prev_day_close	last
AUDUSD	0.8092	0.8083
BTCUSD	11150	10035.29
EURUSD	1.2381	1.2402
GBPUSD	1.4072	1.4145
ILSUSD	3.3966	3.4165
NZDUSD	0.732	0.7328
USDBRL	3.1549	3.1811
USDCAD	1.2336	1.2331
USDCHF	0.9373	0.9341
USDCNY	6.3328	6.3199
USDCZK	20.417	20.394
USDDKK	6.0105	6.0007
USDHKD	7.8177	7.8207
USDHUF	250.13	250.56
USDINR	63.59	63.68
USDJPY	108.95	108.79
USDKRW	1069.95	1072.05
USDMXN	18.602	18.7774
USDMYR	3.879	3.8995
USDNOK	7.709	7.7183
USDPLN	3.3478	3.3533
USDRUB	56.3111	56.3732
USDSAR	3.75	3.7502
USDSEK	7.8904	7.8893
USDSGD	1.3099	1.3114
USDTHB	31.43	31.41
USDTRY	3.7924	3.7768
USDTWD	29.186	29.23
USDZAR	11.94	11.9553
XAGUSD	17.156	17.1
XAUUSD	1339.96	1338.47
XPDUSD	1085.99	1054.3
XPTUSD	1003.5	992.99
