symbol	prev_day_close	last
AUDUSD	0.8082	0.8086
BTCUSD	10014	10028.04
EURUSD	1.24	1.2444
GBPUSD	1.4145	1.4195
ILSUSD	3.4167	3.4117
NZDUSD	0.7329	0.738
USDBRL	3.1811	3.1811
USDCAD	1.2332	1.2305
USDCHF	0.9341	0.932
USDCNY	6.3199	6.294
USDCZK	20.396	20.336
USDDKK	6.0004	5.9794
USDHKD	7.8207	7.8199
USDHUF	250.53	249.74
USDINR	63.68	63.6425
USDJPY	108.76	108.7
USDKRW	1072.23	1067.33
USDMXN	18.766	18.671
USDMYR	3.8995	3.8995
USDNOK	7.7208	7.6927
USDPLN	3.3525	3.3401
USDRUB	56.367	56.3099
USDSAR	3.7502	3.7502
USDSEK	7.8893	7.8623
USDSGD	1.3113	1.3094
USDTHB	31.41	31.32
USDTRY	3.78	3.7655
USDTWD	29.219	29.096
USDZAR	11.9488	11.9016
XAGUSD	17.127	17.2
XAUUSD	1338.16	1344.09
XPDUSD	1054.3	1056
XPTUSD	996	1000
