symbol	prev_day_close	last
AUDUSD	0.8082	0.8096
BTCUSD	10014	10065.79
EURUSD	1.24	1.2449
GBPUSD	1.4145	1.4156
ILSUSD	3.4167	3.4071
NZDUSD	0.7329	0.7404
USDBRL	3.1811	3.1677
USDCAD	1.2332	1.2284
USDCHF	0.9341	0.9339
USDCNY	6.3199	6.2854
USDCZK	20.396	20.305
USDDKK	6.0004	5.9772
USDHKD	7.8207	7.82
USDHUF	250.53	249.35
USDINR	63.68	63.5875
USDJPY	108.76	108.93
USDKRW	1072.23	1064.8199
USDMXN	18.766	18.6391
USDMYR	3.8995	3.8995
USDNOK	7.7208	7.6821
USDPLN	3.3525	3.3332
USDRUB	56.367	56.2909
USDSAR	3.7502	3.7501
USDSEK	7.8893	7.8412
USDSGD	1.3113	1.3084
USDTHB	31.41	31.31
USDTRY	3.78	3.751
USDTWD	29.219	29.144
USDZAR	11.9488	11.8783
XAGUSD	17.127	17.23
XAUUSD	1338.16	1342.8
XPDUSD	1054.3	1044.72
XPTUSD	996	1003
