symbol	prev_day_close	open	high	low	last	volume
AUDUSD	0.8082	0.8082	0.8116	0.8	0.8055	115110
BTCUSD	9969.78	0	10324	9514.96	9961.9102	11880
ETHUSD	1058.99	0	0	0	1087.39	182546
EURUSD	1.24	1.24	1.2475	1.24	1.2413	162568
GBPUSD	1.4145	1.4146	1.4232	1.41	1.4192	215250
ILSUSD	3.4167	3.4157	3.4216	3.4	3.4183	13091
NZDUSD	0.7329	0.7329	0.7419	0.73	0.7365	67649
USDBRL	3.1811	3.1838	3.195	3.15	3.1858	45528
USDCAD	1.2332	1.2332	1.2348	1.23	1.2312	109363
USDCHF	0.9341	0.934	0.9359	0.93	0.9311	64521
USDCNY	6.3199	6.3255	6.3306	6.28	6.2841	1417
USDCZK	20.396	20.396	20.421	20.27	20.359	53508
USDDKK	6.0004	6.0005	6.0079	5.97	5.9948	118106
USDHKD	7.8207	7.8207	7.8229	7.82	7.8226	8058
USDHUF	250.53	250.48	250.79	248.73	249.56	67147
USDINR	63.68	63.67	63.7425	63.56	63.54	1313
USDJPY	108.76	108.76	109.44	108.6	109.18	136883
USDKRW	1072.23	1072.23	1073.8	1065.99	1069.05	18695
USDMXN	18.766	18.76	18.773	18.56	18.5905	112162
USDMYR	3.8995	0	0	0	3.8995	0
USDNOK	7.7208	7.7198	7.7305	7.66	7.7118	103191
USDPLN	3.3525	3.3526	3.3541	3.33	3.3437	50222
USDRUB	56.367	56.3333	56.4586	56.08	56.2052	56272
USDSAR	3.7502	3.7502	3.7502	3.75	3.7501	7490
USDSEK	7.8893	7.8899	7.9012	7.83	7.8776	73272
USDSGD	1.3113	1.3113	1.3137	1.31	1.3118	36550
USDTHB	31.41	31.4	31.43	31.3	31.33	9704
USDTRY	3.78	3.7799	3.7825	3.75	3.7541	89886
USDTWD	29.219	29.228	29.251	29.09	29.17	10120
USDZAR	11.9488	11.95	11.99	11.82	11.8363	81746
XAGUSD	17.31	17.332	0	0	17.296	0
XAUUSD	1344.7	1344.7	0	0	1344.8	0
XPDUSD	1028.1	1028.2	0	0	1025.97	0
XPTUSD	1000	1001.3	0	0	999.5	0
XRPUSD	1.092	1.1	1.15	1	1.09	29801551
