symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7428	0.7424	0.7483	0.74	0.7465	80552	2018-07-09T22:58+02:00
BTCUSD	6701.44	0	6752.2598	6657.0098	6691.29	5733	2018-07-09T22:58+02:00
EURUSD	1.1745	1.1746	1.179	1.17	1.1749	141154	2018-07-09T22:58+02:00
GBPUSD	1.3284	1.3302	1.3362	1.32	1.3257	163509	2018-07-09T22:58+02:00
ILSUSD	3.6213	3.6206	3.6326	3.61	3.6277	12110	2018-07-09T22:56+02:00
NZDUSD	0.6826	0.6837	0.6858	0.68	0.6836	39825	2018-07-09T22:58+02:00
USDARS	27.889	27.955	27.955	27.9	27.889	14	2018-07-09T22:54+02:00
USDBGN	1.6649	1.6655	1.6671	1.66	1.6642	44101	2018-07-09T22:58+02:00
USDBHD	0.37695	0.377	0.3799	0.38	0.3795	437	2018-07-09T15:57+02:00
USDBRL	3.8624	3.864	3.8714	3.86	3.8714	16	2018-07-09T22:25+02:00
USDCAD	1.308	1.3091	1.3122	1.31	1.3106	54559	2018-07-09T22:58+02:00
USDCHF	0.9894	0.9896	0.993	0.99	0.9915	48853	2018-07-09T22:58+02:00
USDCLP	656.7	656.7	657.4	649.83	650.2	10282	2018-07-09T22:52+02:00
USDCNH	6.6614	6.6618	6.6669	6.62	6.6215	93703	2018-07-09T22:58+02:00
USDCNY	6.6396	6.6391	6.6406	6.61	6.6123	3477	2018-07-09T17:26+02:00
USDCOP	2872.45	2872.45	2889.8501	2868	2880.4199	6487	2018-07-09T22:54+02:00
USDCZK	22.039	22.049	22.055	21.93	21.983	34266	2018-07-09T22:58+02:00
USDDKK	6.3436	6.3427	6.3524	6.32	6.3435	64792	2018-07-09T22:58+02:00
USDHKD	7.8479	7.8478	7.8488	7.85	7.8482	8012	2018-07-09T22:58+02:00
USDHUF	274.98	275.15	275.75	273.76	275.45	50753	2018-07-09T22:58+02:00
USDIDR	14365	14325	14340	14325	14320	85	2018-07-09T10:59+02:00
USDINR	68.8	68.56	68.78	68.57	68.65	1242	2018-07-09T22:00+02:00
USDJPY	110.44	110.49	110.9	110.32	110.82	83104	2018-07-09T22:58+02:00
USDKRW	1114.69	1114.4399	1115.8	1109.9	1112.33	21151	2018-07-09T22:58+02:00
USDMXN	19.0155	19.0083	19.2415	18.97	19.204	59929	2018-07-09T22:58+02:00
USDMYR	4.038	4.035	4.038	4.03	4.025	43	2018-07-09T11:24+02:00
USDNOK	8.0289	8.0301	8.038	7.99	8.0239	63838	2018-07-09T22:58+02:00
USDPEN	3.28	3.2776	3.286	3.28	3.2728	580	2018-07-09T22:54+02:00
USDPHP	53.313	53.325	53.472	53.27	53.389	4228	2018-07-09T22:36+02:00
USDPLN	3.7069	3.7076	3.7103	3.66	3.6702	41594	2018-07-09T22:58+02:00
USDRON	3.9666	3.9584	3.9691	3.95	3.9625	38597	2018-07-09T22:58+02:00
USDRUB	62.9147	62.905	63.0075	62.42	62.4513	47333	2018-07-09T22:56+02:00
USDSAR	3.7503	3.7503	3.7503	3.75	3.7503	4585	2018-07-09T22:58+02:00
USDSEK	8.7222	8.7344	8.7529	8.68	8.7219	63329	2018-07-09T22:58+02:00
USDSGD	1.3571	1.358	1.3583	1.35	1.3563	26570	2018-07-09T22:58+02:00
USDTHB	33.14	33.12	33.18	33.06	33.06	11167	2018-07-09T22:58+02:00
USDTRY	4.5712	4.5684	4.7478	4.51	4.7338	144080	2018-07-09T22:58+02:00
USDTWD	30.428	30.428	30.457	30.29	30.307	13675	2018-07-09T22:58+02:00
USDZAR	13.4552	13.4618	13.4759	13.31	13.4	66230	2018-07-09T22:58+02:00
XAGUSD	16	16.005	0	0	16.071	0	2018-07-09T22:58+02:00
XAUUSD	1254.2	1254.72	0	0	1257.62	0	2018-07-09T22:58+02:00
XPDUSD	953	953	0	0	957.5	0	2018-07-09T22:58+02:00
XPTUSD	840.5	840	0	0	847.24	0	2018-07-09T22:58+02:00
