symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.7324	0	0	0	0.7323	0	2018-08-24T23:00+02:00
BTCUSD	6723.57	0	6775.3398	6558.9502	6690.1401	2486	2018-08-26T15:28+02:00
EURUSD	1.1621	0	0	0	1.1621	0	2018-08-24T23:00+02:00
GBPUSD	1.2843	0	0	0	1.2842	0	2018-08-24T23:01+02:00
ILSUSD	3.6169	0	0	0	3.6169	0	2018-08-24T22:50+02:00
NZDUSD	0.669	0	0	0	0.669	0	2018-08-24T22:59+02:00
USDARS	30.83	0	0	0	30.83	0	2018-08-24T22:02+02:00
USDBGN	1.6825	0	0	0	1.6825	0	2018-08-24T22:59+02:00
USDBHD	0.37705	0.3769	0.377	0.38	0.3769	695	2018-08-26T11:10+02:00
USDBRL	4.1012	0	0	0	4.1052	0	2018-08-25T00:00+02:00
USDCAD	1.3027	0	0	0	1.302	0	2018-08-24T23:02+02:00
USDCHF	0.9831	0	0	0	0.9831	0	2018-08-24T23:00+02:00
USDCLP	660.51	0	0	0	660.51	0	2018-08-25T00:00+02:00
USDCNH	6.8025	0	0	0	6.8025	0	2018-08-24T22:59+02:00
USDCNY	6.803	0	0	0	6.803	0	2018-08-24T17:20+02:00
USDCOP	2955	0	0	0	2955	0	2018-08-25T00:00+02:00
USDCZK	22.153	0	0	0	22.153	0	2018-08-24T22:59+02:00
USDDKK	6.4178	0	0	0	6.4178	0	2018-08-24T22:59+02:00
USDHKD	7.8494	0	0	0	7.8494	0	2018-08-24T22:59+02:00
USDHUF	278.19	0	0	0	278.19	0	2018-08-24T22:59+02:00
USDIDR	14637	0	0	0	14637	0	2018-08-24T10:59+02:00
USDINR	69.96	0	0	0	69.96	0	2018-08-24T15:29+02:00
USDJPY	111.22	0	0	0	111.22	0	2018-08-24T23:00+02:00
USDKRW	1114.33	0	0	0	1114.33	0	2018-08-24T22:59+02:00
USDMXN	18.889	0	0	0	18.8905	0	2018-08-24T23:00+02:00
USDMYR	4.107	0	0	0	4.107	0	2018-08-24T10:59+02:00
USDNOK	8.3261	0	0	0	8.3251	0	2018-08-24T23:00+02:00
USDPEN	3.2911	0	0	0	3.2911	0	2018-08-24T21:51+02:00
USDPHP	53.364	0	0	0	53.364	0	2018-08-24T18:57+02:00
USDPLN	3.6795	0	0	0	3.6795	0	2018-08-24T22:59+02:00
USDRON	3.9866	0	0	0	3.9866	0	2018-08-24T23:00+02:00
USDRUB	67.0485	0	0	0	67.0485	0	2018-08-24T22:59+02:00
USDSAR	3.7504	3.7498	3.7503	3.75	3.7503	2	2018-08-26T09:24+02:00
USDSEK	9.1248	0	0	0	9.1248	0	2018-08-24T23:00+02:00
USDSGD	1.3648	0	0	0	1.3648	0	2018-08-24T23:00+02:00
USDTHB	32.6	0	0	0	32.6	0	2018-08-24T23:00+02:00
USDTRY	6.0048	0	0	0	6.0048	0	2018-08-24T23:00+02:00
USDTWD	30.663	0	0	0	30.663	0	2018-08-24T23:00+02:00
USDZAR	14.2037	0	0	0	14.2037	0	2018-08-24T23:00+02:00
XAGUSD	14.8	0	0	0	14.8	0	2018-08-24T22:58+02:00
XAUUSD	1205.55	0	0	0	1205.55	0	2018-08-24T22:58+02:00
XPDUSD	936.25	0	0	0	936.25	0	2018-08-24T23:01+02:00
XPTUSD	790.3	0	0	0	790.3	0	2018-08-24T22:59+02:00
