symbol	prev_day_close	open	high	low	last	volume	time
AUDUSD	0.6957	0.6957	0.6978	0.6955	0.6972	15343	2019-07-11T07:57+02:00
BTCUSD	12094.47	0	12104.9697	11163.6797	11428.3301	5181	2019-07-11T07:57+02:00
EURUSD	1.1249	1.1249	1.128	1.1251	1.1271	19673	2019-07-11T07:57+02:00
GBPUSD	1.2499	1.2498	1.2538	1.25	1.2528	39827	2019-07-11T07:57+02:00
ILSUSD	3.5502	3.5515	3.5515	3.5425	3.5475	8530	2019-07-11T07:57+02:00
NZDUSD	0.6645	0.6647	0.6669	0.6644	0.6663	10066	2019-07-11T07:57+02:00
USDARS	41.788	0	0	0	41.788	0	2019-07-10T21:06+02:00
USDBGN	1.738	1.7385	1.7385	1.734	1.7349	5890	2019-07-11T07:57+02:00
USDBHD	0.3766	0.3769	0.377	0.377	0.377	10	2019-07-11T07:51+02:00
USDBRL	3.7543	3.7538	3.7538	3.754	3.7538	1	2019-07-11T00:30+02:00
USDCAD	1.308	1.3081	1.3083	1.3048	1.305	20595	2019-07-11T07:57+02:00
USDCHF	0.9894	0.9894	0.99	0.9855	0.9865	9443	2019-07-11T07:57+02:00
USDCLP	685.4	685.65	685.65	686.43	685.65	2	2019-07-10T23:00+02:00
USDCNH	6.8718	6.8716	6.8775	6.8615	6.8648	28156	2019-07-11T07:57+02:00
USDCNY	6.8705	6.8704	6.8745	6.8594	6.8635	2953	2019-07-11T07:57+02:00
USDCOP	3201.55	3204.75	3204.75	3208	3204	4	2019-07-10T23:06+02:00
USDCZK	22.734	22.734	22.737	22.687	22.696	14399	2019-07-11T07:57+02:00
USDDKK	6.633	6.6344	6.635	6.6182	6.6221	24629	2019-07-11T07:57+02:00
USDHKD	7.8181	7.8183	7.8193	7.8152	7.8161	5093	2019-07-11T07:57+02:00
USDHUF	289.22	289.14	289.31	288.78	288.85	20033	2019-07-11T07:57+02:00
USDIDR	14125	14095	14100	14060	14055	125	2019-07-11T07:45+02:00
USDINR	68.3993	68.4043	68.412	68.293	68.3475	1708	2019-07-11T07:57+02:00
USDJPY	108.46	108.45	108.46	107.87	107.99	28120	2019-07-11T07:57+02:00
USDKRW	1175.57	1175.5699	1177.8199	1170.25	1171.6	8237	2019-07-11T07:57+02:00
USDMXN	19.13	19.1317	19.1514	19.1072	19.1026	9572	2019-07-11T07:57+02:00
USDMYR	4.137	4.137	4.137	4.123	4.122	41	2019-07-11T06:11+02:00
USDNOK	8.5798	8.5798	8.5828	8.5526	8.5574	9853	2019-07-11T07:57+02:00
USDPEN	3.2835	3.2835	3.2835	3.2905	3.2835	7	2019-07-11T05:25+02:00
USDPHP	51.3	51.33	51.38	51.2	51.2	334	2019-07-11T07:42+02:00
USDPLN	3.7921	3.792	3.7923	3.781	3.7835	22961	2019-07-11T07:57+02:00
USDRON	4.204	4.2035	4.2042	4.197	4.1962	11543	2019-07-11T07:57+02:00
USDRUB	63.069	63.06	63.1688	63.0464	63.063	11308	2019-07-11T07:57+02:00
USDSAR	3.7502	3.7502	3.7505	3.7505	3.7503	23	2019-07-11T07:33+02:00
USDSEK	9.4198	9.4223	9.4223	9.3938	9.399	8098	2019-07-11T07:57+02:00
USDSGD	1.358	1.3578	1.3585	1.3549	1.3551	8819	2019-07-11T07:57+02:00
USDTHB	30.69	30.65	30.67	30.56	30.57	453	2019-07-11T07:57+02:00
USDTRY	5.6702	5.6732	5.6882	5.6588	5.6681	14600	2019-07-11T07:57+02:00
USDTWD	31.037	31.034	31.097	31.001	31.016	2798	2019-07-11T07:57+02:00
USDZAR	13.9793	13.9748	13.9913	13.9303	13.9343	12440	2019-07-11T07:57+02:00
XAGUSD	15.24	15.21	0	0	15.2527	0	2019-07-11T07:57+02:00
XAUUSD	1418.8	1419	0	0	1421.41	0	2019-07-11T07:57+02:00
XPDUSD	1588.5	1589	0	0	1597.285	0	2019-07-11T07:57+02:00
XPTUSD	824.5	821.5	0	0	825.5	0	2019-07-11T07:57+02:00
